"Food.Pinching.Effeciency","Chopstick.Length"
19.55,180
27.24,180
28.76,180
31.19,180
21.91,180
27.62,180
29.46,180
26.35,180
26.69,180
30.22,180
27.81,180
23.46,180
23.64,180
27.85,180
20.62,180
25.35,180
28,180
23.49,180
27.77,180
18.48,180
23.01,180
22.66,180
23.24,180
22.82,180
17.94,180
26.67,180
28.98,180
21.48,180
14.47,180
28.29,180
27.97,180
23.53,210
26.39,210
30.9,210
26.05,210
23.27,210
29.17,210
30.93,210
17.55,210
32.55,210
28.87,210
26.53,210
25.26,210
25.65,210
29.39,210
23.26,210
24.77,210
25.42,210
23.65,210
32.22,210
18.86,210
21.75,210
23.07,210
22.3,210
27.04,210
22.24,210
24.87,210
30.85,210
21.15,210
16.47,210
29.05,210
26.99,210
21.34,240
29.94,240
32.95,240
29.4,240
22.32,240
28.36,240
28.49,240
22.24,240
36.15,240
30.62,240
26.53,240
27.95,240
31.49,240
30.24,240
24.8,240
26.43,240
29.35,240
21.15,240
29.18,240
21.6,240
25.39,240
22.26,240
24.85,240
24.56,240
16.35,240
22.96,240
25.82,240
19.46,240
23.6,240
33.1,240
27.13,240
24.4,270
25.88,270
27.97,270
24.54,270
22.66,270
28.94,270
30.72,270
16.7,270
30.27,270
26.29,270
22.33,270
24.85,270
24.33,270
24.5,270
22.67,270
22.28,270
23.8,270
25.36,270
29.5,270
20.19,270
20.14,270
21.09,270
24.78,270
24.74,270
22.73,270
21.08,270
25.7,270
19.79,270
16.82,270
31.15,270
27.84,270
22.5,300
23.1,300
28.26,300
25.55,300
16.71,300
27.88,300
31.07,300
23.44,300
28.82,300
27.77,300
24.54,300
24.55,300
27.78,300
26.14,300
23.44,300
26.44,300
27.47,300
24.94,300
29.68,300
24.33,300
25.42,300
24.64,300
22.78,300
26.5,300
18.71,300
22.86,300
25.09,300
19.72,300
17.05,300
30.91,300
25.92,300
21.32,330
26.18,330
25.93,330
28.61,330
20.54,330
26.44,330
29.36,330
19.77,330
31.69,330
24.64,330
22.09,330
23.42,330
28.63,330
26.3,330
22.89,330
22.68,330
30.92,330
20.74,330
27.24,330
17.12,330
23.63,330
20.91,330
23.49,330
24.86,330
16.28,330
21.52,330
27.22,330
17.41,330
16.42,330
28.22,330
27.52,330
